sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"(vi) Employment and Investment  
1.",,,,,,Employment; Investment,employment investment; vi; employment; investment,1(CARDINAL)
"Incentives to IFSC  
•",,,,,,Incentives,incentives; ifsc,
"It is proposed that the sunset dates related to IFSC units for 
exemptions, deductions and relocation in various sections shall be 
extended to 31st March, 2030.",,,,,,March,various; march 2030; 31st march; 2030,IFSC(ORG); 31st March(DATE); 2030(DATE)
"It is proposed to exempt the proceeds received on life insurance 
policy issued by IFSC insurance intermediary office without the 
condition on maximum premium amount.",,,,,,,insurance; condition; exempt; received,IFSC(ORG)
"It is proposed to extend the exemption in section 10(4H) to capital 
gains for non -resident or a unit of IFSC on transfer of equity shares 
of a ship leasing domestic company.",,,,,,,leasing; exemption section; ship leasing; extend exemption,section 10(4H(LAW); IFSC(ORG)
"It is proposed to extend the exemption in section 10(34B) to dividend 
paid by a ship leasing company in IFSC to a unit of IFSC engaged in 
ship leasing.",,,,,,,ship leasing; leasing; ship; ifsc,IFSC(ORG); IFSC(ORG)
"It is proposed that any advance or loan between two group entities, 
where one of the group entities is set up in IFSC for undertaking 
treasury activities or treasury services, shall be excluded from 
dividend.",,,,,,,treasury; entities; loan; undertaking,two(CARDINAL); one(CARDINAL); IFSC(ORG); treasury(ORG)
"It is proposed to provide a simplified safe harbor regime for 
investment funds managed by fund manager based in IFSC.",,,,,,,based; proposed provide; regime; funds,IFSC(ORG)
"It is 
further proposed to extend the relaxation of conditions for IFSC units 
till 31st March, 2030.",,,,,,March,march 2030; 31st march; conditions; 31st,IFSC(ORG); 31st March(DATE); 2030(DATE)
"It is proposed to provide exemption to any income accruing or arising 
to or received by a non -resident as a result of transfer of non -
 53  
 
deliverable forward contracts entered into with any Foreign Portfolio 
Investor, being a unit in an International Financial Services Centre, 
which fulfills prescribed conditions.",,,,,,"Foreign Portfolio 
Investor; International Financial Services Centre",non; result; arising; provide exemption,"non -
 (NORP); International Financial Services Centre(ORG)"
"It is proposed that transfer of a share or unit or interest held by a 
shareholder in an original fund (being a retail scheme or exchange 
traded fund regulated under IFSCA Regulations 2022) in 
consideration for the share or unit or interest in a resultant f und in a 
relocation, shall not be regarded as transfer for the purpose of 
calculating capital gains.",,,,,,Regulations,unit; transfer; fund; calculating,
"Extension of date of making investment by Sovereign Wealth Funds, 
Pension Funds and others:  
•",,,,,,Extension; Sovereign Wealth Funds; Pension Funds,funds; making; pension; extension,Sovereign Wealth Funds(ORG); Pension Funds(ORG)
"It is proposed that in the case of person specified under section 
10(23FE)",,,,,,,section 10; case; person; specified,
"the date of making investment shall be extended from 31st 
day of March, 2025 to 31st day of March, 2030.",,,,,,March,day march; 31st; day; march,"31st 
day of March(DATE); 2025(DATE); 31st day of March(DATE); 2030(DATE)"
"It is further proposed that in the case of such specified person 
exemption shall be available to long -term capital gains under said 
section, even if such capital gains are deemed as short -term capital 
gains under section 50AA.",,,,,,,capital gains; gains; capital; term capital,
"Scheme of presumptive taxation extended for non -resident providing 
services for electronics manufacturing facility:  
•",,,,,,Scheme,presumptive; presumptive taxation; non resident; electronics manufacturing,
"It is proposed to provide a presumptive taxation regime for non -
residents, engaged in the business of establishing or operating 
electronics manufacturing facility or a connected facility for 
manufacturing or production of electronic goods, article or thing  in 
India.",,,,,,India,facility; manufacturing; engaged; presumptive,India(GPE)
"Extension of Tonnage Tax Scheme to Inland vessels :  
•",,,,,,Extension; Tonnage Tax Scheme; Inland,inland vessels; inland; vessels; tonnage,
"It is proposed that the benefits of existing tonnage tax scheme to be 
extended to inland vessels registered under the Indian Vessels Act, 
2021 to promote Inland Water Transportation in the country.",,,,,,Indian Vessels Act; Inland Water Transportation,inland; vessels; inland vessels; registered,the Indian Vessels Act(LAW); 2021(DATE); Inland Water Transportation(ORG)
"Deduction u/s 80CCD for contributions made to the NPS Vatsalya:  
•",,,,,,Deduction; Vatsalya,nps; vatsalya; deduction,the NPS Vatsalya(ORG)
"It is proposed to extend the tax benefits available to the National 
Pension Scheme (NPS) under sub -section (1B) of section 80CCD of 
the Income -tax Act, 1961 to the contributions made to the NPS 
Vatsalya accounts, as applicable.",,,,,,"National 
Pension Scheme; Income; Act; Vatsalya",nps; section; tax; tax act,"the National 
Pension Scheme(ORG); NPS(ORG); 1B(CARDINAL); the Income -tax Act(LAW); 1961(DATE); NPS(ORG)"
"54  
 
(vii)",,,,,,,54; vii,54(CARDINAL)
"Other miscellaneous amendments  
 
1.",,,,,,Other,amendments,1(CARDINAL)
"Exemption from withdrawals from National Savings Scheme (NSS):  
•",,,,,,Exemption; National Savings Scheme,withdrawals; savings; exemption; national,National Savings Scheme(ORG); NSS(ORG)
"It is proposed to provide exemption to the withdrawals made from 
National Savings Scheme (NSS) on or after the 29th day of August, 
2024, for any amount deposited under the scheme and the interest 
accrued thereon in respect of which a deduction has been all owed.",,,,,,National Savings Scheme; August,scheme; withdrawals; provide exemption; august,National Savings Scheme(ORG); NSS(ORG); the 29th day of August(DATE); 2024(DATE)
"2. Increase in the limits on the income of the employees for the purpose of    
calculating perquisites:  
•",,,,,,Increase,calculating; limits; purpose; increase,2(CARDINAL)
"The provisions of Section 17 are proposed to be amended so that the 
power to prescribe rules may be obtained to increase these limits.",,,,,,The; Section,prescribe; proposed amended; obtained; provisions section,Section 17(LAW)
"Extension of exemption to Specified Undertaking of Unit Trust of India 
(SUUTI)  
•",,,,,,Extension; Specified Undertaking; Unit Trust; India,undertaking; extension; unit; trust,Specified Undertaking of Unit Trust(ORG)
"It is proposed to extend the exemption of SUUTI created by the Unit 
Trust of India (Transfer of Undertaking and Repeal) Act, 2002, to 31st 
March, 2027.",,,,,,"Unit 
Trust; India; Transfer; Undertaking; Repeal; Act; March",extend exemption; 31st march; undertaking; 31st,"SUUTI(ORG); the Unit 
Trust of India (Transfer of Undertaking and Repeal) Act(ORG); 2002(DATE); 31st 
March, 2027(DATE)"
"Non applicability of Section 271AAB of the Act:  
•",,,,,,Non; Section; Act,non; act; section,
"It is proposed that provisions of the aforesaid section shall not be 
applicable to a case where search has been initiated under  section 
132 on or after the 1st day of September, 2024.",,,,,,September,section; section shall; case; day,"132(CARDINAL); the 1st day of September, 2024(DATE)"
"Certain penalties to be imposed by the Assessing Officer:  
•",,,,,,Certain; Assessing Officer,penalties; certain,
"It is proposed to amend various sections related to penalty to 
provide that penalties under these sections shall be levied by the 
Assessing Officer, subject to the provisions of the Act relating to prior 
approval of Joint Commissioner of Income -tax.",,,,,,Assessing Officer; Act; Joint Commissioner; Income,sections; various; proposed amend; penalties,Joint(ORG)
"Removing date restrictions on framing the schemes in certain cases:  
•",,,,,,Removing,certain cases; schemes; cases; certain,
"It is proposed that the end date prescribed for notifying faceless 
schemes under certain sections may be omitted so as to provide that 
 55  
 
Central Government may issue directions beyond the cut -off date of 
31st day of March, 2025.",,,,,,Central Government; March,date; day march; cut; certain sections,55(CARDINAL); Central Government(ORG); 31st day of March(DATE); 2025(DATE)
"Extending the processing period of Application seeking immunity from 
penalty and prosecution:  
•",,,,,,Extending; Application,prosecution; application; processing; penalty,
"It is proposed that Assessing Officer shall pass an order accepting or 
rejecting the application requesting immunity from penalty and 
prosecution, within a period of three month s from the end of the 
month in which such application is received.",,,,,,Assessing Officer,application; month; prosecution; pass,Assessing(ORG); three month(DATE)
"Increasing  time  limit  available  to pass  order  under  section  115VP:  
•",,,,,,Increasing,pass order; pass; increasing; available,115VP(PRODUCT)
"It is proposed  to amend  section  115VP  to provide  that the order,  
accepting  or rejecting,  assessee’s  option  to opt for tonnage  tax 
scheme  shall  be passed  before  the expiry  of three  months  from  the 
end of the quarter  in which  such  application  was received.",,,,,,,application; proposed amend; end quarter; quarter,115VP(PRODUCT); three  months(DATE)
"Excluding  the period  such  as court  stay  etc. for calculating  time  limit  to 
pass  an order:  
•",,,,,,Excluding,calculating; pass order; pass; court,
"It is proposed  to exclude  certain  time  period  such  as period  of stay 
on proceedings  by any court  order,  etc. from  the time  limit  to pass  
an order  deeming  a person  to be an assessee  in default  with  respect  
of failure  to collect  TCS.",,,,,,,order; period; time; collect,TCS(ORG)
10.,,,,,,,10,10(CARDINAL)
"Time limit to impose penalties rationalized:  
•",,,,,,Time,penalties; rationalized; time limit; time,Time(ORG)
"It is proposed that any order imposing a penalty shall not be passed 
after the expiry of six months from the end of the quarter in which 
the connected proceedings are completed, or the order of appeal is 
received.",,,,,,,order; proceedings; completed; end quarter,the expiry of six months(DATE); the end of the quarter(DATE)
"56  
 
11.",,,,,,,11,56(CARDINAL)
"Clarification regarding commencement date and the end date of the 
period stayed by the Court:  
•",,,,,,Clarification; Court,date; commencement; end date; court,the end date(DATE); Court(ORG)
"It is proposed to amend the relevant sections of the Act to clarify the 
commencement date and the end date of the period stayed by an 
order or injunction of any court.",,,,,,Act,date; commencement; court; proposed amend,the end date(DATE)
12.,,,,,,,12,12(CARDINAL)
"Time limit for retention of seized books of account or other documents 
rationalized:  
•",,,,,,Time,account; rationalized; time limit; time,Time(ORG)
"It is proposed make amendments to provide that  retention of seized 
books of account or other documents shall be one month from the 
end of the quarter in which the assessment or reassessment or 
recomputation order has been made.",,,,,,,account; month; end quarter; quarter,one month(DATE)
13.,,,,,,,13,13(CARDINAL)
"Rationalisation  of provisions  related  to carry  forward  of losses  in case  
of amalgamation   
•",,,,,,Rationalisation,carry; forward; case; related,
"It is proposed  to amend  section  72A and section  72AA  of the Act to 
provide  that any loss forming  part of the accumulated  loss of the 
predecessor  entity,  shall  be carried  forward  for not more  than  eight  
assessment  years  immediately  succeeding  the assessment  year  for 
which  such  loss was first computed  for original  predecessor  entity.",,,,,,Act,entity; assessment; section; proposed amend,72A(DATE); years(DATE); year(DATE); first(ORDINAL)
14.,,,,,,,14,14(CARDINAL)
"Amendments proposed in provisions of Block assessment for search 
and requisition cases under Chapter XIV -B 
•",,,,,,Amendments; Block; Chapter,chapter; block; cases; assessment,"Chapter XIV -B 
(LAW)"
"It is proposed to add the term “virtual digital asset” to the said 
definition of undisclosed income of the block period.",,,,,,,block; digital; said; add,
"The time -limit 
for completion of block assessment is proposed to be made as 
twelve months from end of the quarter in which the last of the 
authorisations for search or requisition has been executed.",,,,,,The,end quarter; quarter; block; months end,twelve months(DATE); end of the quarter(DATE)
